wallet,wins,dumps,selection,tokens,hit_pct,win_rate_pct,realized_pct,harsh_pct,hold_min,per_day,median_buy_sol,observed_days,harsh_first_half,harsh_second_half,swaps,passes,scan
omegoMAe1AMY5MFKQQr3JwXVy8F4eCvmBAfcpo8XAfq,15,0,1.0,118,12.7,44.2,4.2,-2.2,3.7,1586.8,0.4443,0.07,5.8,-11.3,891,,3
BV6VvziipJYL8CMG8MpoAftWzHH4q8kz6A5E99vXvkgj,10,1,0.909,9,111.1,100.0,273.4,273.4,96.2,39.4,0.0206,0.23,556.0,34.4,16,,3
3pbGMwTGy72dQQ6wd9zHTYKthWPcfa22N2cHm96WwTKA,8,0,1.0,14,57.1,60.0,0.2,-2.2,7.3,67.5,1.5213,0.21,-3.3,-2.6,765,,3
4TRYRPwKNxPKtgmjcevCbjAM3n6Juc1cjc1qLj4LQjZ5,7,0,1.0,13,53.8,0.0,0.8,-2.0,12.1,64.0,1.4358,0.2,-2.5,-1.4,866,,3
2eUd88Ghiroprw8vr2Y8GLNsLUYak8BWHA7N4httAYZW,7,0,1.0,12,58.3,0.0,0.0,-100.0,0.0,18.0,0.2531,0.67,-100.0,-100.0,176,,3
6YnbMZKCgH1PbxDXy7BejCSzrtt8n41zTWHnFMFuEErM,7,1,0.875,17,41.2,0.0,0.7,-2.6,2.9,75.4,1.2937,0.23,-3.0,-3.6,851,,3
HnzwTZkS7tWo9qDcWnGcjWMATtkQNiBGg7SfDkUmF4LB,6,0,1.0,10,60.0,66.7,-0.0,-2.0,21.0,46.6,2.7888,0.21,-2.8,-1.9,888,,3
4WxE3GAiFG6EofdSF4N3DWXg5na9V3BQJJN5LuE5dzhP,6,0,1.0,81,7.4,48.1,2.0,2.0,2.0,270.5,0.5031,0.3,0.9,3.6,673,,3
7Ct1abppC3YiLrMAxDYH89qe7rSmc6RZPdd6MnxnEng9,6,0,1.0,25,24.0,40.0,-3.4,-16.9,64.6,14.0,0.488,1.78,-15.1,-19.0,892,,3
74NAhBbuYhBGqpkScVZCfVuZUYXxMQ6gRmAJpiGfX8ZT,6,0,1.0,341,1.8,28.7,-2.1,-2.1,0.0,1198.2,0.1033,0.28,-2.4,-1.5,820,,3
