wallet,wins,dumps,selection,tokens,hit_pct,win_rate_pct,realized_pct,harsh_pct,hold_min,per_day,median_buy_sol,observed_days,harsh_first_half,harsh_second_half,swaps,passes,scan
CJBJza5oWhWmY683HjHcEFgKRwDBRpGsCmndmYxWNseV,6,1,0.857,10,60.0,40.0,0.5,-0.5,24.4,44.4,3.3152,0.23,-0.3,-0.8,812,,3
CnPFcPxuHcFEk5JG6A9UFJuwzu1JXuHikYWernSV7X3r,6,1,0.857,16,37.5,16.7,-1.3,-3.2,22.0,27.4,1.9072,0.58,-4.9,-2.0,794,,3
DYc1jL7enGc5TugZJM72Emx4mcn2LXkDMCgR3T3AwRaB,6,2,0.75,10,60.0,50.0,1.3,-2.3,9.1,30.7,1.1108,0.33,-1.5,-4.7,906,,3
8pgtJMGLJkGSo2qngKUnDtjEGVVmfJM1onRieJYdbPwb,6,3,0.667,12,50.0,0.0,0.0,-100.0,0.0,77.4,0.0559,0.15,-100.0,-100.0,346,,3
EDPsCeiYzonJWQoYBSzzcoGQmWACBuWTm5UZ9KFVJAds,5,0,1.0,10,50.0,57.1,0.0,-2.0,4.8,48.2,2.8735,0.21,-3.4,-1.8,867,,3
HgHjhwtKxECjWXKVWtxdgv56WdzDsXhv5SKnb15phFJw,5,0,1.0,11,45.5,80.0,0.6,-1.7,5.5,57.1,1.9621,0.19,-3.4,-0.7,878,,3
6WfvYb92KVSfS1VgEtxBo71FDXgXcoRFAkYABa53zj1T,5,0,1.0,17,29.4,0.0,0.0,-1.8,20.6,27.7,0.679,0.61,-1.3,-11.4,947,,3
CfUTaNtpY5q6AjoAAubgnoPJnh3Zh9xRr1938ckyUu9q,5,0,1.0,8,62.5,60.0,-0.1,-1.4,3.0,65.3,3.0988,0.12,-0.5,-2.6,869,,3
F8WZGj48qyuyQ8bPJeokCZcMT6q9ZixyBL1Pe9JQ5KXT,5,0,1.0,8,62.5,50.0,0.5,-1.4,11.0,59.3,3.4316,0.13,0.2,-4.3,851,,3
GyzRWe28QoEBSv4MKR2ArDTovoyVQXsnR7NfrSBEFxCo,5,0,1.0,11,45.5,50.0,0.5,-2.5,9.8,127.3,3.3748,0.09,-4.6,-1.6,819,,3
5pbc9eWBokBxWdpCenibpWd2YfEmHftuSdEFKkJennX1,5,0,1.0,25,20.0,41.7,0.6,-1.7,4.6,49.4,0.7551,0.51,-2.1,-1.6,876,,3
AoNMzcBJ6RKwMtQtm7iCkbDRDaKY1TxzQJ9z3yxBcHHU,5,0,1.0,32,15.6,60.0,-0.4,-5.6,1.6,98.4,0.6916,0.33,-7.7,-5.1,970,,3
ASeDmcW86tRPzD92LXWAZGCt9NcNxUuitf9mLCd75icR,5,0,1.0,8,62.5,100.0,-0.3,-2.6,7.8,96.2,2.1293,0.08,-2.3,-3.9,785,,3
9oQ2R8cepVU6HeBnuZ46agnDFJFNGiKxGhNRZ6Y3QwnR,5,0,1.0,7,71.4,50.0,-0.3,-0.9,59.2,21.1,0.5883,0.33,-0.8,-26.5,901,,3
ByK7sb5Uzat1tvw6WcXk2J3oeUB69jkoZJrM8pWUfvsT,5,0,1.0,15,33.3,100.0,1.5,-4.5,1.6,77.3,1.2427,0.19,-5.9,-4.4,818,,3
5ZEUmZhKBnN7NTRqC4LgE9uNzB2Yk4XHqtjz8bcZVbRq,5,0,1.0,72,6.9,38.9,-0.6,-0.6,0.1,270.7,0.5397,0.27,0.5,-2.4,294,,3
Cwq2JrsjoWAHutHmFjUEFJZKkTtjDU8hxWvXjqN4PJjp,5,0,1.0,10,50.0,0.0,-0.6,-3.7,95.4,16.5,0.8289,0.6,-3.4,-3.6,948,,3
GodFDUQDtv4BVnXm9prTpVUeXaP3yarrrHq9fGsV9GKQ,5,0,1.0,330,1.5,41.3,0.5,-3.0,1.2,630.3,0.2923,0.52,-7.1,-0.3,942,,3
5dcy7VN7ZCR3bVox7oJTNmJo6AJeEHCTdYQXySadMR2E,5,0,1.0,3,166.7,0.0,0.0,-100.0,0.0,21.7,0.0506,0.14,-100.0,-100.0,178,,3
BXE7AMyA3NDXnSNCGoCdmz1uqxeV2fupNCzkzoihXABA,5,1,0.833,10,50.0,50.0,0.5,-1.5,11.3,53.4,1.7464,0.19,-1.5,-1.4,905,,3
FH3PFYLWQFTqKnq3R2357cRghpywXL6CNJAYxh4nen1b,5,1,0.833,17,29.4,20.0,-0.4,-1.5,11.6,84.6,1.22,0.2,-1.2,-1.8,854,,3
EDXNXwVMXwS9GhfoR7Ht1fWkuP6XXjs41o8LZEW5YGbV,5,1,0.833,26,19.2,100.0,-0.6,-5.5,2.5,84.6,0.6946,0.31,-5.9,-5.1,957,,3
FNpyU9nvLySGqq1tysxsvvLwbYebQWcR8yWhAZn52esw,5,1,0.833,3,166.7,0.0,0.0,-100.0,0.0,21.7,0.0468,0.14,-100.0,-100.0,176,,3
62he7zJRZ85wwPUroJULwNmYQxGFFnTy3oM5HyogCgcU,5,2,0.714,16,31.2,66.7,-0.4,-2.6,5.4,71.1,3.0581,0.23,-3.5,-2.5,762,,3
7v1joVB4qmGsu5cAaeyUzSAcL5vtCdU82s9YWudjVkDy,5,2,0.714,10,50.0,0.0,-5.3,-91.9,0.0,73.0,0.0616,0.14,-100.0,-85.6,421,,3
DpDFLSq5uao4DZJaT3puPFgKsYGdK8PH4fCnxB6VFU96,4,0,1.0,12,33.3,16.7,-2.8,-5.0,3.4,57.0,1.8728,0.21,-4.2,-9.5,745,,3
61vgWirjjCjbgXEqz8xKEpUq5G64vbY8YYu7HKB5pjq7,4,0,1.0,18,22.2,83.3,-0.2,-2.2,4.1,38.8,0.6636,0.46,-1.6,-2.3,866,,3
AsEskC3A87bsAPokgSACJRPbdfC3JVdWBjagganHAiVz,4,0,1.0,28,14.3,30.8,-0.5,-2.5,1.2,60.3,1.3261,0.46,-3.9,-1.7,842,,3
4FUzhtwzxJ8cigcttJF4FtKGuK4X8SiAELPhBSLdHQzw,4,0,1.0,10,40.0,50.0,0.5,-0.2,10.2,92.4,3.3635,0.11,1.4,-0.4,765,,3
DQFGAqsfLzx8mEdtcG6gYTJnqms9poJfWNQc3pkqcWs,4,0,1.0,10,40.0,25.0,-0.9,-2.9,6.9,58.0,2.2122,0.17,-1.5,-6.5,749,,3
