wallet,wins,dumps,selection,tokens,hit_pct,win_rate_pct,realized_pct,harsh_pct,hold_min,per_day,median_buy_sol,observed_days,harsh_first_half,harsh_second_half,swaps,passes,scan
HX6HmEgW2WUyxEuoMbNE93jKLdUJgyth9qGqUDWUnZtE,5,0,1.0,14,35.7,42.9,0.0,-1.6,0.9,64.8,1.8641,0.22,-1.0,-1.7,887,,3
6dTv1thFkPqfHUga8CCMWiG4QCY5uxa8XAzYhSFpF4WA,5,0,1.0,13,38.5,50.0,-0.4,-1.8,17.7,20.6,1.2354,0.63,-1.0,-2.8,745,,3
DDYN9LajVwUAtwKYwRoj7ZbymknG44xdKQXdPK3bq4xp,5,0,1.0,16,31.2,36.4,0.2,-1.4,15.5,43.5,1.6782,0.37,-1.3,-1.1,864,,3
6AHvixSibGaLQfWUcttAPSRKLkDJb26aRX22EUHH2sM,5,0,1.0,1,500.0,0.0,-4.2,-4.2,0.1,100.0,1.5101,0.0,,,4,,3
BbC38fPTSUcZgN4A4YJEFzZZWwZVDQKq5Nc9jr9okv1W,5,0,1.0,10,50.0,66.7,0.3,-1.8,12.9,82.0,3.5256,0.12,2.2,-3.3,832,,3
E6kB1J34BZMPmoDAHzcNFyMnvfkVehS5XBJcvJjaqcMa,5,0,1.0,20,25.0,50.0,-0.8,-5.6,72.2,29.9,0.7463,0.67,-8.1,-2.9,929,,3
DCQSwEcQxE3rE1iDQVRt8ZxfYFPtRjD3vtjr1JsPQWQc,5,0,1.0,39,12.8,50.0,-0.5,-5.8,1.9,104.6,0.6322,0.37,-4.9,-6.5,963,,3
Cqsy62dpjRS1Fb4Ffpf9UdQFxtN1t7dyRKF9hakCTpKH,5,0,1.0,16,31.2,33.3,0.4,-5.1,102.2,24.1,0.8389,0.66,-7.3,-3.4,935,,3
Cv5GgkpXvtXcsrMcKCJvx46BpMjiM61mpPU1j8RbbbVL,5,0,1.0,82,6.1,24.7,-0.6,-1.8,1.7,115.2,0.7525,0.71,6.0,-6.4,552,,3
Hyhy7tCTJ7s4e1GcriPxMhrYrnWCF1v2MV9ML1MExSgM,5,0,1.0,21,23.8,33.3,-1.6,-4.1,40.7,28.5,0.9882,0.74,-3.4,-4.5,889,,3
F6XJTh93VGFcbnf2FJmyR6f3y2HZsav25EeEaZosYouk,5,0,1.0,102,4.9,37.3,0.1,0.1,2.0,169.8,0.5031,0.6,-0.4,1.1,553,,3
8J9pQfL9jYmM6Pi7uhhMFhoeFyyoXsVBfLQo5YErqd7C,5,0,1.0,21,23.8,50.0,-4.8,-13.6,59.2,13.8,0.5541,1.52,-23.1,-5.8,916,,3
7BH77VU1f897WJcjM4pDkrWs7mAEyqu2Lm6P36ttux3c,5,0,1.0,21,23.8,0.0,0.0,-100.0,0.0,24.9,0.1376,0.84,-100.0,-100.0,330,,3
AmjQeLsdJz29UnU8nDyL4GrFemdtdNr5wQ91Fr9nCiBj,5,0,1.0,2,250.0,0.0,6.3,-92.7,0.0,200.0,47.505,0.0,-100.0,,4,,3
6htCwqMHQ7xPPXeAdCs9npb456DZtGfLxptoeU8SEcjV,5,1,0.833,21,23.8,57.1,0.6,-3.2,9.5,85.5,1.1939,0.25,-3.8,-3.1,752,,3
EzqzT8AGN8S5T6GNFh5WKYYEwq7yb7tEtFT4J7wU8juW,5,1,0.833,17,29.4,100.0,0.5,-3.9,0.0,167.4,2.2144,0.1,-6.4,-2.1,780,,3
HpyPCtGzVymfy5kpvssyB7RiKHuXbY3yovn4DR2dCxXi,5,1,0.833,32,15.6,50.0,-0.5,-6.5,0.2,82.7,0.6336,0.39,-7.3,-5.1,969,,3
DuJh5jkWrzxmcTQ16vHoDgwtpQKrTSdy5qPHkcdg2iK5,5,1,0.833,3,166.7,0.0,0.0,-100.0,0.0,21.5,0.0515,0.14,-100.0,-100.0,177,,3
HiBti2DjvGyL9fzVwjBLgS3CKQ7sKKe8vQpjB51tycFs,5,2,0.714,19,26.3,54.5,-0.7,-3.1,3.2,91.2,2.8939,0.21,-3.5,-2.8,764,,3
AQdxHxEwSkcbrmu3Df1AdYzDQCGWPU6o4Jkp3JFW3DCG,5,3,0.625,15,33.3,0.0,-5.0,-92.6,0.0,65.1,0.0534,0.23,-100.0,-91.6,449,,3
3nWLLAFpo8NN86WK1KX5fc1iPCUcvgqUN27Qthfcz4tN,4,0,1.0,9,44.4,60.0,0.1,-1.4,1.6,81.8,2.8278,0.11,-1.3,-2.5,857,,3
H8ysD9L98TW1GRRXngpW8pRgNhJCMGYGqmkbndt1VjVX,4,0,1.0,13,30.8,66.7,1.1,-1.5,9.2,59.9,3.1569,0.22,-0.4,-3.4,822,,3
6fXQu2txkcuYJHJXvTuDaeqtwWt5d578BVHTZfzv5rYK,4,0,1.0,6,66.7,0.0,-0.6,-1.5,32.8,54.1,2.6737,0.11,-1.3,-1.9,808,,3
FmeYfDrFrRYPVue1baKrWv4yVYaSKV8XqebyT5hSArs2,4,0,1.0,7,57.1,100.0,0.5,-0.4,43.0,63.0,3.121,0.11,1.2,-3.2,850,,3
HGmudUwtLnj4Ds4yJ6HoH4nFJxaEfatrxYXFjud293pW,4,0,1.0,10,40.0,60.0,-0.5,-2.7,4.7,84.3,2.9974,0.12,-0.6,-6.3,802,,3
