wallet,wins,dumps,selection,tokens,hit_pct,win_rate_pct,realized_pct,harsh_pct,hold_min,per_day,median_buy_sol,observed_days,harsh_first_half,harsh_second_half,swaps,passes,scan
BwWK17cbHxwWBKZkUYvzxLcNQ1YVyaFezduWbtm2de6s,12,36,0.25,18,66.7,90.9,6.5,-40.7,1.0,1800.0,0.0279,0.0,-27.5,-56.9,865,,3
NMVXLGSVrvcP9RS7iRy8BkbrueyNKzLGZD5rhKMVYXy,10,1,0.909,14,71.4,100.0,285.3,285.3,118.4,34.5,43.3423,0.41,427.1,229.6,28,,3
91cszSKVMP4hogSTMWeeHtAx1cf7Uyg6gqu7hkA8pDrH,8,0,1.0,13,61.5,50.0,0.8,-1.5,10.1,65.1,1.6481,0.2,-0.5,-3.7,872,,3
E5CAMHWGo9sPa93qAMXRZ8sAbHBXj1J7nHS8MKfQ7ZRf,7,0,1.0,18,38.9,10.0,-0.6,-2.4,11.2,60.7,1.1601,0.3,-1.8,-2.9,842,,3
EPnbFpE1NNRp8Yamy8gawaHs86hbD8PRSxqjzxJnzM9b,7,0,1.0,17,41.2,100.0,103.5,102.3,39.6,80.4,5.0104,0.21,40.6,191.4,30,,3
5YFhajnhLGfpX5Bpzcz3YRxAmoWHqDkwXEmxv38qFvvN,7,2,0.778,16,43.8,33.3,0.8,-5.8,12.3,51.8,0.8132,0.31,-3.8,-7.7,915,,3
668fx1pbM2cdsEmtXocxS6BuiEiXVSHTREPTqjd76YPr,6,0,1.0,22,27.3,27.3,-0.4,-2.6,9.2,56.6,1.0176,0.39,-2.9,-2.3,801,,3
CVNB17X94Kqwr9CNZJkfzU2rtfbtDEJcaMu2frnD6Gnn,6,0,1.0,14,42.9,50.0,1.0,-3.2,7.5,52.5,0.9094,0.27,-4.1,-2.9,669,,3
4RDQVXd5CUfm1ovKUaziUJeGu4ViPqoUKLRzx3vgLEv6,6,0,1.0,11,54.5,0.0,0.0,-100.0,0.0,16.9,0.2929,0.65,-100.0,-100.0,138,,3
EkWdRztgSmRBnFiLYhcV3SVubrYUgbeqNa2YA38dBsL3,6,0,1.0,9,66.7,0.0,0.0,-100.0,0.0,23.0,0.092,0.39,-100.0,-100.0,341,,3
BW42QBt6PbBs7fqkaWGoxSUGHuKtTq7R6L3zaDay7Q8A,6,1,0.857,8,75.0,25.0,0.0,-1.2,20.9,43.9,1.9735,0.18,0.7,-2.6,862,,3
2Mz7KTqzrMR1o3xYbH2y9VG8U1zwLPK1GwTbLYShjSTH,6,1,0.857,20,30.0,25.0,0.1,-3.0,15.4,41.0,1.4109,0.49,-4.8,-2.4,855,,3
CVPhbRHpz4QTyBj3kNakxqXfLJGVX6y3NvVh5zv1wibW,6,2,0.75,7,85.7,0.0,0.0,-100.0,0.0,83.0,0.0583,0.08,-100.0,-100.0,436,,3
Co8WLAvxipMKyGHvqCWUp2wf5b2o8WVvGpAtt2iVQoMz,6,4,0.6,8,75.0,0.0,0.0,-100.0,0.0,88.1,0.06,0.09,-100.0,-100.0,441,,3
7acAHPXdaKNpjogBdPDbSR3U3WjE5T19gVC18pXR1BF7,5,0,1.0,11,45.5,75.0,0.9,-1.1,1.5,82.6,1.7465,0.13,0.0,-5.6,790,,3
