mint,arm,entry_ts,ret,label,m5_buys,vol_m5_usd,pages,sig_n,sig_fail_share,slot_max_share,slot_dense_share,iat_cv,parsed_n,swap_n,buy_n,uniq_buyer_ratio,top_buyer_share,size_cv,size_dup_share,median_sol,wallets_checked,fresh_wallet_share,note
4UEkLv8dbFpBrx7LtP9AyxbkV4TaMDjexx5vdYhHx8L2,surge,1788398305.0,1.3441,pump,648.0,21375.58,10,1418,0.2024,0.0049,0.067,0.5612,40,40,35,1.0,0.0286,2.2264,0.7429,0.002109,8,0.0,
2o1x9bJ11rdWZKuMRZECNa2MiZVY6rCKLmtHqw2kGyWW,liqctl,1788398305.0,-0.99825,dump,898.0,106684.94,17,1425,0.3298,0.014,0.6646,1.9717,40,40,25,0.96,0.08,1.0251,0.28,0.797817,8,0.0,
9HgjjLZ3PFxfFTncjug9id3pqBVBYPmfz49Z15g4VnmG,wait120,1788398842.0,-1.0,dump,349.0,11896.45,4,1405,0.279,0.0712,0.652,1.7959,40,40,17,1.0,0.0588,2.8007,0.0,0.135855,8,0.0,
3uqUa6ih5s24pxGxfJJ9HDXfuwXvw64rABGT3Z1rcGPB,surge,1788399802.0,-0.99995,dump,465.0,5705.62,3,410,0.0098,0.0098,0.0488,0.5712,40,40,31,1.0,0.0323,4.4785,0.7742,0.002286,8,0.0,
6chkMPYXsGrUoqqyFWTYbTzjsusgKVCB7NS8Yx6h4hBA,surge,1788400182.0,-0.90345,dump,432.0,3300.13,1,461,0.0456,0.0108,0.0456,0.7368,40,39,21,1.0,0.0476,1.1254,0.5714,0.002068,8,0.0,
BvrbS5JihdLhdUqaBYnWnihSJTfMKEMStvsDsPHzJS3E,surge,1788400182.0,2.3225,pump,381.0,21937.6,15,534,0.2828,0.015,0.0824,1.9273,40,40,34,1.0,0.0294,1.4227,0.5882,0.002118,8,0.0,
2inEGfjh1UzeMwBNumL6gJr6HBdn5ocuok1PREnaFdAU,surge,1788400978.0,-0.99995,dump,369.0,4928.91,1,474,0.0148,0.0148,0.0591,0.5964,40,40,35,1.0,0.0286,2.4671,0.8286,0.00229,8,0.0,
56bsX8ZhHa9AGLEgu4FZvhzSALdCmpVUdoDzwPEYeeik,surge,1788401247.0,1.0045000000000002,pump,409.0,7011.86,7,591,0.2149,0.0169,0.0761,1.2957,40,40,36,1.0,0.0278,1.9928,0.7222,0.002112,8,0.0,
7hhyHQ1rdeiY2eb7411art92FLiZjYHadexhWQXY5MrC,surge,1788401247.0,1.1275499999999998,pump,356.0,4034.73,4,551,0.1397,0.0091,0.1343,0.6158,40,39,30,1.0,0.0333,1.5716,0.6333,0.002312,8,0.125,
6RG5JSwD62d4UTNchY5S57mZAYCkFy1aHHE6KUb7o9oL,surge,1788401247.0,2.30045,pump,484.0,133128.96,38,956,0.3745,0.0105,0.1412,1.5354,40,40,36,0.8889,0.0556,1.9279,0.4722,0.013498,8,0.0,
3psb9aYw18Pn9rUmncqnMu3SG9bQNbHLRXXeewZphybJ,wait120,1788402120.0,2.9296,pump,649.0,71058.76,19,2783,0.2742,0.0047,0.7115,1.4927,40,40,25,0.96,0.08,1.2647,0.32,0.456054,8,0.0,
FKJD7rbrs9dRrCpKCCcTRWT3pb9wjyGaeK9KC5HFjwEL,liqctl,1788402792.0,-1.0,dump,875.0,92079.04,21,4186,0.2635,0.0062,0.7917,0.4075,40,40,22,0.9545,0.0909,1.2938,0.3636,0.409994,8,0.0,
6v2ZPhDajWatEHNLsndydGV6ba2ePpemvoLxssWoQAEC,wait120,1788403392.0,-0.9104,dump,590.0,19577.24,3,2237,0.3464,0.0286,0.7568,2.0123,40,40,16,1.0,0.0625,0.7142,0.0,0.147667,8,0.0,
4mXszz5YZ4b9BLcvgKHtMHt6SXBLF431mNwoSGMn6Htr,surge,1788403625.0,2.26275,pump,554.0,20248.7,9,839,0.3504,0.0167,0.1454,0.9773,40,40,34,1.0,0.0294,2.4807,0.8235,0.002443,8,0.0,
Djc8tQqUHJ3QJ6myrYqw7yJs7rkwQ9T46FZ5Hi2rQahj,surge,1788403625.0,-1.0,dump,385.0,2998.0,2,427,0.0,0.0141,0.0656,0.5384,40,40,32,1.0,0.0312,5.0692,0.7812,0.002067,8,0.0,
5Zwb4Lwn7omZEj86gfi6Y157H674CS5yzie59dTWfVjx,surge,1788404366.0,-0.99995,dump,475.0,5294.7,2,410,0.0,0.0146,0.0439,0.5647,40,40,34,1.0,0.0294,2.4239,0.8235,0.002254,8,0.0,
3vZiB2ViNAjzJTPTzoZ1E4EL9Fga4hdFvWkMZ2dR14ph,liqctl,1788405537.0,2.63145,pump,635.0,109619.43,17,1477,0.1605,0.0061,0.1462,1.4725,40,40,20,0.75,0.15,0.746,0.1,0.530127,8,0.0,
7voEPC3F6zCXLd2dFXTnhkhjKJx1XGjmcExkJonigBWb,launchctl,1788405904.0,-0.9224,dump,416.0,12393.83,2,1685,0.3401,0.0202,0.746,2.4489,40,40,13,0.9231,0.1538,0.6524,0.0,0.156138,8,0.0,
9zcWFnMZn3cEsb65SiCrzy2FJkdNKcAKPYqidreLVqWu,liqctl,1788406169.0,-1.0,dump,756.0,126444.9,9,1499,0.2628,0.0073,0.4229,0.8572,40,40,22,0.9545,0.0909,1.321,0.4545,0.023725,8,0.0,
FXVJimZ2nzo4wYFm4QyXtznH5Vvowv15u2tu3BbeV38k,surge,1788406595.0,-1.0,dump,1213.0,181461.08,8,1245,0.3141,0.0064,0.5936,1.48,40,40,31,1.0,0.0323,1.4323,0.4516,0.070192,8,0.0,
5NQwBwnxduHfAhYmQwjsomP3qTTsPRb5k42VN8Eteyi4,liqctl,1788406922.0,-1.0,dump,1147.0,134355.41,15,3930,0.2751,0.0048,0.6969,0.1453,40,40,27,0.8889,0.0741,1.0301,0.3333,0.681968,8,0.0,
88uFeMi8PAwcFXTLhk4jyHCGnPmsmtfPiim7VLUeuwgB,launchctl,1788408315.0,1.62555,pump,1045.0,119114.3,19,1863,0.2845,0.0054,0.6924,1.719,40,40,28,0.9643,0.0714,1.682,0.5,0.069157,8,0.0,
3CrEDcJjfRkAQfSnR26r7n7nae4fFJ79wQ5eqkcwJ7yS,surge,1788408315.0,-0.99975,dump,547.0,4274.41,3,552,0.0199,0.0127,0.0489,1.9452,40,40,38,1.0,0.0263,1.9874,0.7895,0.002109,8,0.0,
56KcHgnu9EWP2phen7iD8fqaPEEuMuRuMaADweGAH8Su,wait120,1788409209.0,-1.0,dump,376.0,13357.49,5,1596,0.297,0.0294,0.8233,1.5591,40,40,15,1.0,0.0667,0.758,0.0,0.115604,8,0.0,
Dz37RVhUVgguLoxCyfFQLDX3Dw4VBZvQJNvZx4Szpump,launchctl,1788409209.0,1.1487500000000002,pump,764.0,48042.26,12,9408,0.8768,0.0125,0.9909,0.5034,40,38,30,0.9,0.0667,2.5857,0.3333,0.053781,8,0.0,
7oqi8uzTbNVn7QMyzBXPvWsBrYNNfM4yHdbYcSxpq386,surge,1788410219.0,1.23325,pump,787.0,30058.68,10,907,0.2051,0.0055,0.0584,1.4661,40,40,34,0.8529,0.0882,2.8454,0.6765,0.002108,8,0.0,
7d9kcDcjaTMdngwC8PGAcsPWE8eZHC2cgrCMgyyzpump,surge,1788410219.0,-0.9999,dump,394.0,6300.94,3,580,0.0052,0.0069,0.0207,0.5061,40,39,26,0.6538,0.1538,2.4788,0.4615,0.061503,8,0.0,
BCMKpJwp8upc7YBZDABDkMHzfrpBpNYFgDwHvXWSuBwn,liqctl,1788410219.0,-1.0,dump,831.0,247585.4,8,1515,0.2601,0.0066,0.3274,0.8459,40,40,28,0.75,0.1071,0.822,0.1071,0.435619,8,0.0,
FgDvBUAkc8cXH1PZyxSsC8KJGyThLzNZeLL2Nhz4cT7Y,launchctl,1788411953.0,-1.0,dump,961.0,158626.6,10,1597,0.3049,0.01,0.6957,1.0119,40,40,25,1.0,0.04,1.5059,0.52,0.002565,8,0.0,
VVGmSQozMkuHM8B8LKs7ovig6Zdrv72jgcbcqudpump,liqctl,1788411953.0,-0.9726,dump,480.0,83885.01,7,2134,0.2873,0.0234,0.6556,0.7805,40,38,16,0.9375,0.125,1.0157,0.125,0.356222,8,0.125,
EQu2ogBvCu3j7SMQjZ95RFUrrnxdHLCCgXHVgE7AGjPQ,launchctl,1788412723.0,1.33445,pump,588.0,29618.97,11,532,0.0075,0.0132,0.1316,0.7959,40,40,20,0.7,0.15,0.5077,0.0,0.28033,8,0.0,
HaTiM45B7A1GefzukvAe2Ta1SMDMrv7kyfNR3QBb6xRU,surge,1788414349.0,-0.99995,dump,435.0,6051.25,4,375,0.024,0.0187,0.0587,1.3251,40,40,32,1.0,0.0312,2.0044,0.75,0.002242,8,0.0,
ATsL1xMmXdf7VuGkcUB5zfaaaBfBAUMVeP2NsM7Kpump,liqctl,1788414349.0,-0.9696,dump,418.0,65584.46,5,929,0.1518,0.0366,0.6286,0.9115,40,38,13,0.9231,0.1538,2.3924,0.1538,0.508074,8,0.0,
7NyW5ZzDvKCLug3SJRyGXYmbrgFEeFSFXMjgMTdd13ax,surge,1788414584.0,-1.0,dump,325.0,5656.4,4,786,0.1005,0.0076,0.0178,0.7936,40,40,35,1.0,0.0286,2.1353,0.7714,0.002112,8,0.0,
