wallet,wins,dumps,selection,tokens,hit_pct,win_rate_pct,realized_pct,harsh_pct,hold_min,per_day,median_buy_sol,observed_days,harsh_first_half,harsh_second_half,swaps,passes,scan
4suL6sgqS44k67STxtp9qFzwp4FC5Uaucvc4U95Rzvho,5,1,0.833,13,38.5,57.1,0.5,-1.1,10.5,69.5,1.7531,0.19,-0.5,-1.9,907,,3
BqSK3oa2bGa3SeSKwmJkd39xwzhV9UsSrJdyCmpGAmub,5,1,0.833,9,55.6,57.1,0.6,0.2,11.5,83.5,2.1015,0.11,1.7,0.2,861,,3
EPYJeHsqKCvbzwNMdLpze7s5Yw5pRiD4YLzUhxouGQbP,5,1,0.833,146,3.4,36.4,0.5,-6.8,7.0,34.6,0.0021,4.22,-6.5,-100.0,669,,3
DSTzpD4JNDWKMbdV1gXeK7kNHNy9SRuXwLkkWGaaR1B,5,2,0.714,19,26.3,75.0,0.8,-0.8,3.9,81.5,3.2922,0.23,-1.8,0.8,774,,3
5KeUcivVXR5MEgLDFQp5Pxfenxv32UDSXKnhFYdGtJWJ,5,2,0.714,12,41.7,0.0,0.0,-100.0,0.0,56.2,0.0862,0.21,-100.0,-100.0,432,,3
27HFmP7ccLadGswvQfvea4o3juLw75cPF4V6jWpHM3MX,5,6,0.455,675,0.7,0.0,0.0,-100.0,0.0,4721.5,0.0019,0.14,-100.0,-100.0,916,,3
Aa9mpEB7GrAs4H2J4tydFUyLvvnMwoeJRpRmmp9y57f5,4,0,1.0,18,22.2,27.3,0.3,-1.6,3.8,95.2,2.3168,0.19,-2.5,-0.2,822,,3
3HB71Q5JXnbKBRLkzrEtzp8u9Cbk1J4mp2o26t4Cszs1,4,0,1.0,14,28.6,28.6,-1.5,-3.2,4.9,83.8,2.355,0.17,-2.5,-6.2,774,,3
HHEHixZjq8ZkzydX4YLhf7A8wrd1XKCz4wyDkVSa2rNE,4,0,1.0,17,23.5,77.8,1.2,-0.3,4.3,108.1,2.3938,0.16,-0.1,-6.0,798,,3
FHvjgbUePYmpVoqx4EUqEcgpWzq4bRwNnJnXZwMbgVvE,4,0,1.0,12,33.3,33.3,1.0,-3.7,0.9,75.2,2.2102,0.16,-3.1,-4.1,692,,3
