wallet,wins,dumps,selection,tokens,hit_pct,win_rate_pct,realized_pct,harsh_pct,hold_min,per_day,median_buy_sol,observed_days,harsh_first_half,harsh_second_half,swaps,passes,scan
SQHK48QT8SY1vYN44iXji7wQ6CJek8AjfX6mBp47TZq,11,1,0.917,203,5.4,40.6,9.8,8.1,4.6,835.4,0.9612,0.24,2.8,16.1,889,,3
7gE3KAL2rFiFKNGqNqYTMRiby8AwkaRKrnCtSJbydf3v,9,0,1.0,11,81.8,33.3,0.7,-1.7,12.7,57.1,1.6323,0.19,-2.2,-2.5,887,,3
sssssDdMNAWKingjpEojkTNdVuZrBe7FsJLaGtexe7d,8,0,1.0,104,7.7,43.8,3.8,0.9,5.0,1125.3,0.8887,0.09,6.8,-2.8,647,,3
9w3cGd56knsFwuxMYsXSMxyyNKNqSwhVMxJTQVeD12RN,7,0,1.0,15,46.7,42.9,0.9,-0.7,10.3,61.6,1.4351,0.24,-0.7,-0.7,879,,3
B1Ec85NhgJsViQV9V6GnYUWvmikNQA8NRyD95No1BARx,7,0,1.0,34,20.6,100.0,53.9,53.6,7.5,128.8,71.5086,0.26,42.8,81.6,52,yes,3
Fs9RN3wAsuJKPbTmtX5eek1bhW5krNH8RkQxkFAtgNfR,7,18,0.28,761,0.9,100.0,7.9,-86.8,173.2,6190.0,0.0019,0.12,-100.0,-100.0,1385,,3
Fk9UFT6EVHS1d9DLXQGriTwaChRyq8ucVNrk2B1br95f,6,0,1.0,22,27.3,25.0,0.3,-2.4,9.8,60.3,1.2648,0.36,-1.8,-3.4,852,,3
DeWqcNkq2gffpcyBjNHSoSjyGCZg6bdH2Y7EegqjynE1,6,0,1.0,12,50.0,100.0,0.0,-6.3,43.7,19.5,0.5079,0.62,-5.0,-9.1,952,,3
A5UQsLm3LQmz9B2qYjMuXQ3mhVbu5yp1yLNtmE5ahfMf,6,0,1.0,13,46.2,0.0,0.0,-100.0,0.0,31.3,0.3778,0.42,-100.0,-100.0,288,,3
DSS7PKPfT2cApp4sxUHQD1v8jmhwbqVbXs7mARTd1okS,6,0,1.0,5,120.0,0.0,0.0,-100.0,0.0,22.1,0.1331,0.23,-100.0,-100.0,244,,3
7UfYrtss36qm8RCg6wPRE7aDRpgzLEy7Vn4kAQ424gvy,6,1,0.857,13,46.2,66.7,0.1,-2.9,22.6,30.0,1.1037,0.43,-4.6,-1.5,902,,3
9yqLmFp9mCmTeBA9kLVw6TZyiqWJXFPmoHM9dyG5aRSA,6,1,0.857,15,40.0,14.3,-0.3,-1.8,25.5,40.6,1.5535,0.37,-1.6,-3.0,869,,3
3Eny8c6vUrEUhmh4G23ML3VZpT1zqG3WuVhBrSTTC4vZ,6,2,0.75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,3
AtQj8wMUKPGGMyaARpBWENc1qEA5y6zF3no6omdhWK4,5,0,1.0,25,20.0,37.5,0.4,-2.6,10.6,36.9,0.9903,0.68,-2.0,-4.0,891,,3
C36uDbBo8DGKY7Xf3s1eVUoABX2k22qBc4GRiQwnjDPu,5,0,1.0,25,20.0,15.4,-1.0,-3.2,2.7,52.6,0.9918,0.48,-2.7,-4.5,873,,3
7paYMFdUHXAPsxmx5sDD2Lxk2gyMM5XHdpyq1cimMUsy,5,0,1.0,15,33.3,36.4,-0.8,-2.3,1.5,75.7,2.284,0.2,-3.5,-1.8,802,,3
9uiXTGC7BqUyX8hZHyXruuAMkUzsfEEA4R3nn164xnFA,5,0,1.0,14,35.7,30.0,-0.6,-1.6,12.8,46.2,2.4936,0.3,-3.0,-1.3,827,,3
283B8dofqE2pPfYVDGvGp6SDZz6KMNF5EcYxMUHNKPZB,5,0,1.0,23,21.7,66.7,-0.1,-2.7,3.0,34.5,0.9314,0.67,-2.4,-5.3,910,,3
7zufU36phXxKkPJFMHECm6jeBTXkLeMwy93z2nswqJTA,5,0,1.0,12,41.7,20.0,1.1,-2.3,9.9,85.9,3.1289,0.14,-2.9,-2.6,833,,3
8yCnRmv7YBmVMCzYDMrLgvBLRfCubfH1ybBx1tcUTjEY,5,0,1.0,11,45.5,33.3,-0.2,-2.2,5.8,43.0,2.6826,0.26,-2.1,-2.2,820,,3
8JyEsjugc1bG4mymy9iMeYUYzQ9yKsw22RB68TKmPS4d,5,0,1.0,18,27.8,71.4,-0.2,-1.9,2.2,48.3,1.1952,0.37,-1.6,-1.9,875,,3
9gNUBD6Rgm2XFJZLbTauDPqchR17RfWYXP7SNqbEFhCT,5,0,1.0,28,17.9,33.3,1.3,-4.1,13.8,49.8,1.0435,0.56,-4.7,-3.6,838,,3
7NgvqZjmS2ZiwVV9u2FEJaEMLNQ4nCKXJvjf6uurZaXq,5,0,1.0,9,55.6,40.0,-0.8,-3.6,7.4,94.6,1.7136,0.1,-1.9,-7.2,776,,3
8dtx2tr4TuJsYpri2suggFu1pg3DVjFLBBVmhtDy1MEF,5,0,1.0,352,1.4,30.0,3.2,2.9,0.5,364.8,0.58,0.96,4.5,0.2,916,,3
DEZztjkMZL4RtUy3znKgDaegG1jdF5ZdaGhAKtsoRwf9,5,0,1.0,17,29.4,14.3,1.3,-2.4,1.6,170.2,2.69,0.1,-1.3,-2.8,792,,3
49uohdddbmvWpKRPY1prvsYRtX1Bvc5WC5LvtQxYja6o,5,0,1.0,209,2.4,37.3,-0.5,-0.5,1.7,181.2,0.5031,1.15,-1.4,0.7,829,,3
E418ruAsgQuuRFdpYQAJEjnq7Y1sXTKBmRiMSPwwRcm3,5,0,1.0,404,1.2,27.9,0.2,-0.1,0.8,880.8,0.1564,0.46,-1.9,1.5,807,,3
7ee6nQZMBgbLsv4mctLx6rPTCTYbsGGrDM59wZmFb8JM,5,0,1.0,15,33.3,0.0,0.0,-100.0,0.0,17.4,0.1208,0.86,-100.0,-100.0,284,,3
Dp3cuAhnkY2z5P11n8eDpHf8jJzPoNAJNomXE3p9j4bT,5,1,0.833,11,45.5,50.0,1.0,-1.9,47.1,39.7,1.9191,0.28,-3.9,-1.6,804,,3
At5vXmVsR3W8f5QePnZpq1n2DASzuiteHW61nRL4ug5Z,5,1,0.833,12,41.7,100.0,-0.2,-4.5,0.1,78.0,1.5411,0.15,-3.5,-6.0,784,,3
4sMz3xxNXd5CH12jZqe4xyBFWTX83QRa391MuSnLFf8C,5,1,0.833,15,33.3,62.5,0.0,-0.8,13.9,72.1,1.7004,0.21,-2.0,-0.6,846,,3
8wg8aU4vDt4MGWbdsNe4Sq9cSvDjF81P9gGrf6Z9z1ZF,5,1,0.833,53,9.4,26.7,-0.5,-5.8,1.6,79.4,0.5715,0.67,-5.5,-6.1,933,,3
52RVsqDyyBMFwjbUWC51LSMdBonRKxUcsqCrGZPWHMHk,5,1,0.833,3,166.7,0.0,0.0,-100.0,0.0,21.7,0.051,0.14,-100.0,-100.0,175,,3
BUBBLEtr8BEJZ9PyC2DFYxG58r8tu5PiyAKMVm14hCg9,5,2,0.714,389,1.3,31.7,1.1,0.9,0.4,1463.8,0.1033,0.27,4.4,-2.4,985,,3
2TtJcWjYfzHqZye48bojUNx5v7EBcLKGXGHC3hVdnGx2,5,3,0.625,375,1.3,0.0,-95.2,-95.2,0.0,2343.8,0.0162,0.16,-95.0,-95.4,753,,3
7QfAqsDBoHFNvMEzYm5Z3Pa83J1kqXkzXkjXrwgsWpQ7,4,0,1.0,11,36.4,33.3,2.9,-2.5,11.8,85.8,2.6502,0.13,-0.9,-6.1,756,,3
ApN5ePCp12xd1GrGewmsLr1D8uKjuAHe2Kd6B93EQNF1,4,0,1.0,18,22.2,0.0,-0.1,-3.3,0.0,49.6,0.739,0.36,-5.2,-2.9,854,,3
J5kMpzQwFnqjP8sL6tdSsrGvwAxgwzBa7KXCshLskzS3,4,0,1.0,28,14.3,100.0,0.0,-4.5,4.3,91.3,1.0289,0.31,-3.5,-7.3,853,,3
54HV4u4bcSaoNRzYVUaycPShSfZe5KZQiTuPyn73veed,4,0,1.0,11,36.4,0.0,-0.4,-2.5,73.2,40.6,0.939,0.27,-2.1,-2.6,943,,3
E1KTxtabDaCpCA5D2Eeep4yMS5TwJQwiqxd8A9ezbKE2,4,0,1.0,11,36.4,0.0,2.4,-1.0,2.1,39.1,1.9357,0.28,-0.9,-1.4,757,,3
